part_ctx ;pb_source_variance(get_unsigned_bits) ;rd_ratio(sub1) ;rd_ratio(sub2) ;rd_ratio(sub3) ;rd_ratio(sub4) ;rd_ratio(sub5) ;rd_ratio(sub6) ;rd_ratio(sub7) ;rd_ratio(sub8) ;var_ratio(horz4)(sub1) ;var_ratio(horz4)(sub2) ;var_ratio(horz4)(sub3) ;var_ratio(horz4)(sub4) ;var_ratio(vert4)(sub1) ;var_ratio(vert4)(sub2) ;var_ratio(vert4)(sub3) ;var_ratio(vert4)(sub4) ;
3.000000;10.000000;0.613523;1.000000;0.506229;1.000000;0.273017;0.306416;0.204079;0.372965;0.418182;0.420979;0.751049;1.233566;0.723077;0.338462;0.419580;2.413986;9
5.000000;9.000000;0.498887;0.515583;0.521878;0.511315;0.251640;0.250186;0.246138;0.262631;0.293769;0.480712;0.100000;1.792285;0.664688;1.044510;1.362018;0.899110;6
3.000000;8.000000;0.532903;0.565705;0.564273;0.516243;0.265202;0.234764;0.283270;0.237838;0.496599;1.108844;0.272109;0.891156;1.272109;0.768707;0.653061;0.340136;6
3.000000;9.000000;0.637042;1.000000;0.524842;0.557827;0.271394;0.290931;0.219303;0.231006;0.937811;0.203980;0.100000;0.298507;0.412935;0.880597;1.410448;0.995025;6
3.000000;7.000000;0.512527;0.557761;0.543554;0.551863;0.251336;0.243611;0.252622;0.273088;0.238938;0.141593;0.100000;1.876106;0.929204;0.884956;0.840708;1.017699;6
3.000000;9.000000;0.643608;1.000000;0.659621;1.000000;0.331459;0.287471;0.306211;0.279311;0.508621;0.885057;0.824713;0.264368;1.189655;1.333333;0.841954;0.494253;9
3.000000;9.000000;0.468318;0.589395;0.460233;0.558450;0.191271;0.255129;0.268590;0.288281;0.148559;1.121951;0.199557;1.263858;0.100000;0.873614;1.175166;1.474501;6
3.000000;11.000000;0.522272;0.510866;0.496883;0.523567;0.246139;0.254802;0.254162;0.257375;0.668394;1.239205;1.056995;0.528497;0.565630;1.421416;0.872193;1.007772;6
3.000000;10.000000;0.537642;0.546668;0.419633;0.662128;0.216143;0.303850;0.173340;0.324958;0.498164;1.116279;0.561812;1.593635;0.100000;0.238678;0.401469;2.259486;6
3.000000;10.000000;0.563837;0.493026;0.527454;0.512440;0.270589;0.278048;0.251459;0.223413;1.435345;1.007184;0.804598;0.603448;0.576149;0.571839;0.639368;1.316092;6
3.000000;10.000000;0.645105;1.000000;0.518049;1.000000;0.253445;0.358173;0.258997;0.281738;0.864249;0.808290;1.099482;1.160622;0.260104;1.103627;1.153368;1.129534;9
3.000000;10.000000;0.700566;1.000000;0.610959;1.000000;0.286483;0.333830;0.272130;0.375153;0.524005;0.794239;0.735254;1.078189;1.019204;0.593964;0.750343;1.467764;12
3.000000;11.000000;0.490626;0.567683;0.500936;0.563544;0.236840;0.243841;0.255185;0.283994;0.140870;0.387826;1.637391;0.315652;1.031304;0.989565;1.006957;0.917391;6
3.000000;10.000000;0.420840;0.621514;0.496997;0.544744;0.203853;0.209064;0.288028;0.304517;0.100000;0.233372;1.750292;0.760793;1.144691;1.170362;0.900817;0.581097;6
3.000000;10.000000;0.492699;0.581662;0.432119;0.610744;0.204499;0.275062;0.218360;0.329256;0.420183;1.040367;0.667890;1.697248;0.271560;0.352294;0.820184;1.631193;6
3.000000;11.000000;0.489410;0.571195;0.565121;0.506329;0.245256;0.226791;0.294289;0.248067;0.503145;0.457547;1.170597;1.072327;0.713050;0.915881;1.063679;0.746069;6
3.000000;11.000000;0.571627;1.000000;0.607133;1.000000;0.295996;0.267203;0.298567;0.317511;0.215548;1.174912;0.765018;1.283569;0.893110;0.937279;0.962014;0.903710;9
3.000000;10.000000;0.522436;0.556910;0.499442;0.588866;0.213866;0.278864;0.261386;0.270029;0.264822;0.866930;1.478261;0.901186;0.693017;0.412385;0.642951;2.032938;6
3.000000;10.000000;0.534100;0.509976;0.565193;0.495188;0.281081;0.230002;0.247817;0.248025;0.141337;1.381459;0.714286;0.781155;0.694529;0.826748;0.407295;0.928571;6
3.000000;9.000000;0.518494;0.520201;0.567056;0.480229;0.278432;0.221729;0.267005;0.234913;1.488608;1.037975;0.691139;0.769620;0.594937;1.111392;1.316456;0.377215;6
3.000000;9.000000;0.536769;0.526772;0.491024;0.549522;0.254725;0.255697;0.225604;0.268822;1.171617;1.069307;0.617162;1.042904;0.297030;0.194719;0.838284;0.726073;6
3.000000;10.000000;0.642066;1.000000;0.613131;1.000000;0.319665;0.308796;0.274975;0.283417;0.804805;1.091592;0.696697;0.492492;0.792793;1.328829;0.578078;0.681682;9
3.000000;9.000000;0.512882;0.539171;0.479504;0.586600;0.189076;0.313307;0.263984;0.249357;1.364066;1.567376;0.548463;0.100000;0.286052;0.312057;0.586288;1.061466;6
3.000000;11.000000;0.591591;0.470375;0.525228;0.522085;0.275113;0.287729;0.239739;0.221599;1.234417;0.669377;0.888211;0.807588;1.060976;0.539295;0.462060;1.091463;6
3.000000;9.000000;0.575535;0.506468;0.503927;0.576231;0.242420;0.298279;0.246725;0.241949;1.150794;0.941799;0.100000;1.431217;0.550265;0.626984;0.992063;1.656085;6
3.000000;11.000000;0.503615;0.536535;0.525313;0.544245;0.237608;0.247794;0.266058;0.260713;1.148085;1.075745;0.970213;0.778723;0.810213;0.451064;0.100000;0.904681;6
3.000000;11.000000;0.662059;1.000000;0.543995;1.000000;0.269648;0.372326;0.272031;0.266678;1.389498;1.010188;0.779781;0.743730;0.153605;0.389498;1.017241;0.974138;9
3.000000;10.000000;0.545826;0.540645;0.597861;0.462403;0.305823;0.193348;0.262629;0.243147;1.160363;0.937973;0.930408;0.346445;1.125567;0.839637;0.717095;0.254160;6
3.000000;9.000000;0.549757;0.541525;0.475831;0.551395;0.232635;0.276102;0.244262;0.258326;0.390863;0.502538;1.131980;1.149746;0.256345;0.111675;1.129442;1.307107;6
3.000000;10.000000;0.551686;0.523317;0.571614;0.524792;0.270920;0.249848;0.270744;0.249626;1.297459;1.077728;0.965620;0.364723;0.852018;1.128550;0.472347;0.375187;6
3.000000;8.000000;0.606771;0.501767;0.507495;0.586693;0.229272;0.314557;0.247810;0.229721;1.348837;1.325581;0.874419;0.100000;0.367442;0.213953;0.925581;2.074419;6
3.000000;9.000000;0.642174;1.000000;0.660324;1.000000;0.335287;0.290762;0.316467;0.272381;0.979757;1.066802;1.127530;0.617409;1.439271;1.087044;0.159919;0.834008;9
3.000000;10.000000;0.719247;1.000000;0.718159;1.000000;0.344617;0.295365;0.329743;0.299323;0.985699;0.871287;1.144114;0.803080;0.888889;1.389439;0.778878;0.497250;12
3.000000;10.000000;0.552969;0.514021;0.572778;0.505366;0.290651;0.224902;0.263519;0.234016;0.113900;1.059846;1.011583;1.090734;0.393822;1.249035;1.171815;0.318533;6
3.000000;9.000000;0.503697;0.548216;0.581994;0.482137;0.252047;0.240919;0.291894;0.232707;0.100000;0.232804;1.267196;1.029101;1.044973;1.298942;0.793651;0.642857;6
3.000000;9.000000;0.522411;0.521161;0.543771;0.489697;0.267491;0.238614;0.268064;0.232726;1.045361;0.983505;0.839175;1.098969;0.465979;0.375258;1.055670;0.100000;6
3.000000;10.000000;0.551478;1.000000;0.493435;0.556245;0.246899;0.266217;0.257790;0.264214;0.443493;0.520548;1.121575;1.434932;0.924658;0.691781;0.190068;1.412671;6
3.000000;10.000000;0.635660;1.000000;0.643705;1.000000;0.326953;0.270819;0.302974;0.283641;0.638095;1.129524;0.771429;1.219048;1.068571;0.763810;0.885714;1.133333;9
3.000000;10.000000;0.439436;0.593616;0.524742;0.533966;0.222476;0.225226;0.282380;0.277567;0.100000;0.194900;1.313297;1.475410;0.397086;0.699454;0.876138;0.690346;6
3.000000;8.000000;0.568848;0.490743;0.540954;0.503986;0.272093;0.271916;0.235508;0.224343;2.461539;0.723077;0.392308;0.261538;1.123077;0.515385;0.338462;1.123077;6
3.000000;8.000000;0.577340;0.455916;0.527962;0.507377;0.290002;0.260643;0.236842;0.225723;2.176190;0.504762;0.171429;0.100000;2.347619;0.371429;0.114286;0.271429;6
3.000000;7.000000;0.545232;0.519053;0.551646;0.533861;0.263152;0.250675;0.255685;0.239150;0.461538;0.549451;0.472527;0.263736;0.890110;0.593407;1.263736;0.835165;6
3.000000;10.000000;0.616320;1.000000;0.622993;1.000000;0.302401;0.297890;0.285874;0.262628;0.705584;1.015228;0.333333;0.100000;1.901861;0.952623;0.406091;0.241963;9
3.000000;9.000000;0.570803;0.520561;0.577149;0.515770;0.280910;0.259676;0.266823;0.220445;1.063205;0.860045;0.819413;1.081264;1.060948;0.478555;0.981941;0.415350;6
3.000000;11.000000;0.608788;0.489746;0.514307;0.549484;0.286071;0.279367;0.219282;0.242532;0.752627;0.905444;1.126075;1.123209;0.261700;0.252149;0.661891;0.100000;6
3.000000;8.000000;0.600657;0.501637;0.575963;0.504827;0.306160;0.253326;0.214420;0.243673;2.088710;1.504032;0.209677;0.185484;0.802419;1.032258;1.116935;0.225806;6
3.000000;10.000000;0.531299;0.543404;0.475192;0.564879;0.237852;0.272377;0.240332;0.265851;1.662274;1.255354;0.596376;0.168040;0.100000;0.100000;0.314662;1.233937;6
3.000000;10.000000;0.661486;1.000000;0.640447;1.000000;0.328716;0.292121;0.295997;0.273402;1.143556;1.344209;1.092985;0.265905;0.601958;0.471452;0.252855;1.598695;9
3.000000;6.000000;0.492585;0.570922;0.527115;0.522764;0.233096;0.248118;0.278335;0.271343;0.352941;0.294118;0.794118;2.058824;0.500000;1.764706;0.500000;0.911765;6
3.000000;5.000000;0.505158;0.528782;0.554846;0.504786;0.260399;0.243484;0.260487;0.237545;1.000000;1.285714;0.714286;0.892857;1.142857;1.178571;0.500000;0.392857;6
3.000000;8.000000;0.519739;0.546045;0.553661;0.534024;0.254537;0.245315;0.263247;0.261973;0.485437;0.907767;1.014563;1.237864;0.854369;0.868932;0.587379;0.509709;6
3.000000;7.000000;0.483266;0.559497;0.531156;0.506299;0.225492;0.244114;0.281428;0.252515;0.322314;0.322314;0.628099;2.628099;2.264463;0.173554;0.297521;0.272727;6
3.000000;7.000000;0.567614;1.000000;0.610491;1.000000;0.280811;0.272839;0.316447;0.294807;0.181102;0.338583;0.889764;2.133858;0.905512;1.244094;0.968504;0.228346;9
3.000000;10.000000;0.748849;1.000000;0.728828;1.000000;0.338239;0.323630;0.331807;0.300558;0.703899;0.977871;0.940991;0.873551;0.464700;0.802951;0.679663;0.210748;12
3.000000;9.000000;0.527252;0.526625;0.570426;0.488849;0.273018;0.237229;0.264680;0.254866;1.827684;1.084746;0.615819;0.381356;2.423729;0.514124;0.446328;0.180791;6
3.000000;8.000000;0.509222;0.534563;0.473215;0.560068;0.233111;0.271979;0.226462;0.282102;1.074803;0.842520;0.779528;1.259843;0.267717;0.240157;0.988189;2.200787;6
3.000000;10.000000;0.414432;0.639200;0.501603;0.561516;0.197614;0.203113;0.287031;0.333558;0.132561;0.149292;2.039897;1.501930;0.743887;0.482625;1.395109;1.303732;6
3.000000;11.000000;0.478208;0.578849;0.514891;0.552830;0.208220;0.244940;0.279962;0.286904;0.265049;0.790291;2.062136;0.699029;0.723301;0.831068;1.184466;1.066990;6
3.000000;10.000000;0.526681;1.000000;0.589967;1.000000;0.266045;0.253592;0.312846;0.340498;0.667192;0.378549;0.629338;2.269716;0.817035;0.933754;0.709779;1.332808;9
3.000000;3.000000;0.536495;0.546115;0.546633;0.490917;0.280672;0.235747;0.263991;0.242474;1.142857;0.857143;0.857143;1.142857;1.285714;1.000000;0.714286;0.571429;6
3.000000;3.000000;0.561825;0.511045;0.516285;0.546996;0.247691;0.270202;0.257981;0.253660;1.000000;1.200000;1.200000;0.800000;0.800000;0.800000;1.400000;1.200000;6
3.000000;6.000000;0.488007;0.565465;0.531249;0.514682;0.240108;0.230622;0.268969;0.277919;0.172414;0.465517;0.586207;2.413793;0.931035;0.568965;1.637931;0.862069;6
3.000000;6.000000;0.503174;0.555972;0.525731;0.525511;0.251517;0.228217;0.266039;0.263036;0.354167;0.895833;0.895833;1.520833;1.541667;0.854167;0.875000;0.604167;6
3.000000;6.000000;0.519109;0.655436;0.614127;1.000000;0.257334;0.241792;0.332988;0.306310;0.205882;0.205882;0.852941;2.647059;0.852941;1.147059;0.911765;0.647059;9
3.000000;11.000000;0.499893;0.553809;0.497181;0.551116;0.235168;0.254478;0.255476;0.281459;0.713217;0.788030;1.183707;1.091438;0.859518;0.736492;1.072319;1.188695;6
3.000000;11.000000;0.506145;0.544630;0.532776;0.500479;0.247290;0.241976;0.282014;0.249826;0.341137;0.941472;1.297659;1.306020;0.990803;1.258361;1.018395;0.381271;6
3.000000;10.000000;0.523308;0.537937;0.556973;0.511809;0.240215;0.261943;0.291548;0.226672;1.669145;0.100000;0.428748;0.469641;0.695167;0.822801;0.802974;1.650558;6
3.000000;11.000000;0.590980;0.500152;0.534412;0.574256;0.276733;0.288325;0.219462;0.242082;1.416595;0.350043;0.766638;0.390666;1.286949;0.863440;0.936906;0.667243;6
