(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
6.981935;6.957498;5.924256;5.837730;5.023880;5.017280;5.429346;5.429346;5.351858;5.308268;6.284134;6.251904;6.146329;6.139884;6.486161;6.373320;6.042633;6.006353;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;0.000000;11.787993;8.899594;14.328389;1;24;8;6;1
6.793466;6.787845;5.777652;5.587249;5.590987;5.587249;4.663439;4.510859;4.969813;4.969813;6.322565;6.313548;5.723585;5.723585;6.109248;6.018593;6.077642;6.077642;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;11.964071;8.630700;14.279158;1;24;12;6;1
6.439351;6.249975;4.983607;4.812184;4.962845;4.875197;5.099866;4.927254;5.030438;4.709530;5.765191;5.556828;5.762052;5.513429;5.793014;5.594711;5.799093;5.560682;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;11.377151;8.776630;14.089266;1;28;8;6;1
6.232448;6.232448;4.795791;4.744932;4.828314;4.804021;4.584968;4.584968;4.897840;4.897840;5.513429;5.472270;5.442418;5.442418;5.389072;5.375278;5.609472;5.609472;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;10.331985;9.056840;14.053288;1;28;12;6;1
7.585281;7.561121;5.966147;5.780744;5.590987;5.575949;6.511745;6.504288;6.146329;6.146329;6.563856;6.461468;7.116394;7.115582;7.086738;7.021084;6.651572;6.651572;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;1.000000;12.423818;8.672657;14.571712;1;16;16;6;1
7.488853;7.482682;6.118097;6.115892;6.257668;6.257668;6.165418;6.120297;5.402678;5.402678;6.961296;6.938284;6.546785;6.532334;6.863803;6.840547;6.723833;6.723833;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.266937;8.644882;14.462056;1;16;20;6;1
7.308543;7.308543;6.699501;6.680855;5.655992;5.648974;5.017280;5.003946;5.241747;5.220356;7.239933;7.217443;5.849325;5.834811;6.872128;6.864848;6.135565;6.135565;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;2.000000;12.259083;8.604654;14.441992;1;20;16;6;1
6.781058;6.742881;5.755742;5.755742;5.198497;5.147494;4.905275;4.882802;4.941642;4.812184;6.369901;6.333280;5.693732;5.594711;6.159095;6.159095;5.837730;5.720312;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;2.000000;11.687140;8.803424;14.230161;1;20;20;6;1
7.383368;7.315884;5.888878;5.860786;6.190315;6.190315;6.084499;5.840641;5.765191;5.472270;6.742881;6.733402;6.603944;6.368187;6.759255;6.601230;6.692084;6.630683;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;2.000000;12.289223;8.547335;14.440372;1;16;24;6;1
8.058011;8.047190;6.329721;6.329721;6.777647;6.775366;6.047372;6.047372;7.017506;6.993933;7.334982;7.334329;7.394493;7.362010;6.890609;6.889591;7.597396;7.586296;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;12.594707;8.678121;14.687613;1;16;28;6;1
6.774224;6.472346;5.624018;5.117994;5.442418;5.288267;5.093750;4.672829;5.375278;4.890349;6.190315;5.913503;5.968708;5.616771;6.063785;5.602119;6.095825;5.831882;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;11.706385;8.598773;14.129596;1;20;24;6;1
9.767954;9.764513;5.451038;5.407172;8.388451;8.372398;6.639876;6.610696;8.982812;8.929965;8.483223;8.483223;9.290537;9.288875;6.988413;6.988413;9.634234;9.618668;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;12.731396;8.310169;14.691300;1;20;28;6;1
7.235619;7.221836;5.587249;5.583496;5.587249;5.587249;6.823286;6.790097;5.866468;5.652489;6.278522;6.276643;6.828712;6.769642;6.646390;6.646390;6.428105;6.381816;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.244616;8.489822;14.391223;1;24;16;6;1
6.715384;6.565265;5.267858;5.267858;5.323010;4.820282;5.241747;5.117994;5.231109;4.812184;6.040255;5.888878;6.100319;5.793014;6.056784;6.003887;5.926926;5.476463;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;1.000000;11.728948;8.779096;14.235286;1;24;20;6;1
7.267525;7.077498;5.955837;5.926926;6.383507;6.249975;5.187386;4.709530;5.318120;4.897840;6.884487;6.807935;6.021023;5.513429;6.383507;6.220590;6.735780;6.519147;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;1.000000;12.127192;8.456381;14.304007;1;28;16;6;1
7.396335;6.991177;6.753438;5.267858;5.981414;5.468060;5.407172;5.017280;5.973810;5.605802;7.013916;6.222576;6.505784;6.095825;6.723833;6.126869;6.652863;6.269096;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;1.000000;12.147172;8.658866;14.395361;1;28;20;6;1
7.776954;7.776535;5.293305;4.905275;6.810143;6.727432;5.863631;5.820083;7.075809;7.072422;7.149917;7.149917;7.451241;7.443079;6.313548;6.255750;7.483807;7.482682;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;12.284560;8.592857;14.453718;1;24;24;6;1
9.752025;9.750919;8.697179;8.656955;7.577634;7.526718;7.556951;7.549083;8.433594;8.433376;9.175438;9.171288;8.927049;8.927049;9.080460;9.067393;8.849514;8.844625;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;1.000000;12.884170;8.442685;14.839726;1;24;28;6;1
8.502688;8.401333;5.752573;5.733341;7.401842;7.122060;5.129899;5.030438;7.541683;7.509335;7.590347;7.499977;7.687997;7.671827;6.186209;6.182085;8.273336;8.088562;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;2.000000;12.356456;8.702344;14.539491;1;28;24;6;1
9.010425;8.999002;7.177783;7.167809;7.725330;7.720018;6.480044;6.453625;7.727535;7.721792;8.448915;8.399985;8.166216;8.165932;7.619234;7.614312;8.579980;8.578665;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;1.000000;12.672432;8.669914;14.739122;1;28;28;6;1
8.138272;8.086718;6.475433;6.248043;5.638355;5.587249;6.173786;6.161207;7.608871;7.573531;6.834109;6.700731;7.822044;7.797702;7.028202;6.936343;7.738924;7.706613;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;2.000000;12.509989;8.537975;14.585798;1;0;32;6;1
7.413367;7.401842;5.459586;5.446737;5.568345;5.463832;6.436151;6.434546;6.291569;6.291569;6.206576;6.159095;7.058758;7.057037;6.754604;6.749931;6.685861;6.663133;0.940983;0.000000;2.000000;2.000000;1.000000;1.000000;0.000000;12.146853;8.759198;14.437840;1;0;36;6;1
