x+=1,parameter,cqs,block,time,count
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_64X64,71.4657,12480
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_64X128,10.0547,689
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_128X64,4.82434,434
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_128X128,41.1785,3360
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_4X16,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_16X4,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_8X32,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_32X8,0,0
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_16X64,0.636855,165
BQMall_832x480_60,set_minpartitionsize16,55,BLOCK_64X16,0.303398,66
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_4X4,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_4X8,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_8X4,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_8X8,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_8X16,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_16X8,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_16X16,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_16X32,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_32X16,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_32X32,94.2224,41950
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_32X64,15.5752,3011
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_64X32,15.3849,3199
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_64X64,93.117,12480
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_64X128,12.6833,748
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_128X64,7.11295,521
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_128X128,48.8988,3360
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_4X16,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_16X4,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_8X32,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_32X8,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_16X64,0,0
BQMall_832x480_60,set_minpartitionsize32,55,BLOCK_64X16,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_4X4,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_4X8,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_8X4,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_8X8,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_8X16,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_16X8,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_16X16,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_16X32,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_32X16,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_32X32,7.9416,3120
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_32X64,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_64X32,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_64X64,68.1161,12480
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_64X128,13.6296,852
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_128X64,6.96615,618
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_128X128,51.9757,3360
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_4X16,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_16X4,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_8X32,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_32X8,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_16X64,0,0
BQMall_832x480_60,set_minpartitionsize64,55,BLOCK_64X16,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_4X4,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_4X8,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_8X4,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_8X8,33.1205,164470
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_8X16,30.8061,18427
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_16X8,26.2966,16250
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_16X16,107.519,87586
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_16X32,35.4762,12260
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_32X16,23.6217,8773
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_32X32,168.026,40692
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_32X64,5.05314,1206
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_64X32,6.09558,1565
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_64X64,65.8006,12480
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_64X128,8.85545,669
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_128X64,4.29325,413
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_128X128,39.3666,3360
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_4X16,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_16X4,0,0
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_8X32,20.9223,7487
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_32X8,10.8324,4506
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_16X64,0.557029,123
BQMall_832x480_60,set_minpartitionsize8,55,BLOCK_64X16,0.241402,44
BQMall_832x480_60,orig,43,BLOCK_4X4,21.8298,559874
BQMall_832x480_60,orig,43,BLOCK_4X8,6.21615,21582
BQMall_832x480_60,orig,43,BLOCK_8X4,5.85658,21402
BQMall_832x480_60,orig,43,BLOCK_8X8,106.266,285012
BQMall_832x480_60,orig,43,BLOCK_8X16,82.8012,32531
BQMall_832x480_60,orig,43,BLOCK_16X8,70.1135,29401
BQMall_832x480_60,orig,43,BLOCK_16X16,289.218,114720
BQMall_832x480_60,orig,43,BLOCK_16X32,59.2128,13510
BQMall_832x480_60,orig,43,BLOCK_32X16,39.1074,9863
BQMall_832x480_60,orig,43,BLOCK_32X32,304.174,46184
BQMall_832x480_60,orig,43,BLOCK_32X64,7.63071,1085
BQMall_832x480_60,orig,43,BLOCK_64X32,9.47894,1534
BQMall_832x480_60,orig,43,BLOCK_64X64,104.764,12480
BQMall_832x480_60,orig,43,BLOCK_64X128,4.96135,245
BQMall_832x480_60,orig,43,BLOCK_128X64,1.79083,73
BQMall_832x480_60,orig,43,BLOCK_128X128,51.0548,3360
BQMall_832x480_60,orig,43,BLOCK_4X16,10.1507,13300
BQMall_832x480_60,orig,43,BLOCK_16X4,6.03722,7887
BQMall_832x480_60,orig,43,BLOCK_8X32,35.5536,8600
BQMall_832x480_60,orig,43,BLOCK_32X8,18.0792,5155
BQMall_832x480_60,orig,43,BLOCK_16X64,0.371354,51
BQMall_832x480_60,orig,43,BLOCK_64X16,0.147634,26
BQMall_832x480_60,all_disable,43,BLOCK_4X4,28.1854,923198
BQMall_832x480_60,all_disable,43,BLOCK_4X8,13.5918,116291
BQMall_832x480_60,all_disable,43,BLOCK_8X4,12.4082,116980
BQMall_832x480_60,all_disable,43,BLOCK_8X8,128.868,470442
BQMall_832x480_60,all_disable,43,BLOCK_8X16,92.69,53413
BQMall_832x480_60,all_disable,43,BLOCK_16X8,79.1312,52464
BQMall_832x480_60,all_disable,43,BLOCK_16X16,333.185,176208
BQMall_832x480_60,all_disable,43,BLOCK_16X32,101.028,24551
BQMall_832x480_60,all_disable,43,BLOCK_32X16,90.6957,23452
BQMall_832x480_60,all_disable,43,BLOCK_32X32,458.578,46792
BQMall_832x480_60,all_disable,43,BLOCK_32X64,47.1903,5618
BQMall_832x480_60,all_disable,43,BLOCK_64X32,50.3021,6363
BQMall_832x480_60,all_disable,43,BLOCK_64X64,234.518,12480
BQMall_832x480_60,all_disable,43,BLOCK_64X128,30.744,1024
BQMall_832x480_60,all_disable,43,BLOCK_128X64,18.3137,779
BQMall_832x480_60,all_disable,43,BLOCK_128X128,91.8289,3360
BQMall_832x480_60,all_disable,43,BLOCK_4X16,18.0165,41944
BQMall_832x480_60,all_disable,43,BLOCK_16X4,16.2915,41944
BQMall_832x480_60,all_disable,43,BLOCK_8X32,66.3771,20593
BQMall_832x480_60,all_disable,43,BLOCK_32X8,54.6853,20593
BQMall_832x480_60,all_disable,43,BLOCK_16X64,29.1585,5434
BQMall_832x480_60,all_disable,43,BLOCK_64X16,24.584,5434
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_4X4,21.3844,559874
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_4X8,6.09271,21582
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_8X4,5.74012,21402
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_8X8,102.938,285012
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_8X16,80.3408,32531
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_16X8,67.8184,29401
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_16X16,283.38,114720
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_16X32,58.9352,13510
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_32X16,38.9217,9863
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_32X32,302.313,46184
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_32X64,7.60919,1085
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_64X32,9.4713,1534
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_64X64,104.346,12480
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_64X128,4.97748,245
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_128X64,1.78879,73
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_128X128,51.2645,3360
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_4X16,10.0441,13300
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_16X4,6.01427,7887
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_8X32,34.893,8600
