(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
6.091310;6.089045;4.060443;4.060443;4.615120;4.394449;5.159055;5.141664;4.653960;4.644391;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;6;24;3;0
6.907755;6.901737;5.214936;5.198497;5.556828;5.476463;5.703783;5.669881;5.476463;5.468060;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;26;3;0
9.259130;9.259130;7.167038;7.146772;6.905753;6.888573;7.410347;7.264030;8.626944;8.459140;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1;4;28;6;1
7.167038;7.146772;5.594711;5.572154;5.003946;4.919981;5.424950;5.398163;5.723585;5.631212;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1;4;28;3;0
6.905753;6.888573;5.929589;5.638355;4.304065;4.262680;6.154858;5.666427;5.505332;5.225747;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;4;30;3;0
7.410347;7.264030;4.663439;4.634729;6.025866;5.823046;4.727388;4.644391;6.137727;5.834811;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;6;28;3;1
8.626944;8.459140;5.476463;5.468060;7.800163;7.377759;5.393628;5.393628;7.395108;7.152269;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;6;30;3;0
8.774158;8.774158;7.509883;7.483244;7.447751;7.444833;6.993933;6.993933;7.504942;7.492760;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;1;8;16;9;0
7.509883;7.483244;6.144186;6.115892;6.371612;6.194406;5.894403;5.831882;5.746203;5.700444;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;1;8;16;6;1
6.144186;6.115892;4.934474;4.499810;4.912655;4.219508;4.718499;4.204693;4.174387;4.025352;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;1;8;16;3;0
6.371612;6.194406;5.384495;4.521789;4.941642;4.934474;4.875197;4.406719;5.379897;4.672829;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;8;18;3;0
5.894403;5.831882;4.521789;4.077538;4.510859;4.442651;4.465908;4.465908;4.248495;4.248495;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;10;16;3;1
5.746203;5.700444;4.510859;4.510859;4.007333;3.931826;4.394449;4.025352;4.442651;4.442651;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;10;18;3;0
7.447751;7.444833;6.054440;6.052089;5.872118;5.866468;5.852202;5.852202;6.228511;6.084499;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;8;20;6;0
6.054440;6.052089;4.779123;3.850147;5.525453;5.135798;3.891820;3.761200;4.787492;4.787492;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;8;20;3;0
5.872118;5.866468;4.356709;4.356709;4.382027;4.343805;4.499810;4.442651;4.127134;3.871201;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;0.000000;1;8;22;3;0
5.852202;5.852202;4.234107;4.219508;4.644391;4.406719;3.931826;3.737670;4.276666;4.174387;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;10;20;3;0
